2022-03-05-22 21:11:03 iteration 1, max-likelihood = -3555.270855
2022-03-05-22 21:11:04 iteration 2, max-likelihood = -3546.134288
2022-03-05-22 21:11:04 iteration 3, max-likelihood = -3522.146619
2022-03-05-22 21:11:04 iteration 4, max-likelihood = -3468.876061
2022-03-05-22 21:11:04 iteration 5, max-likelihood = -3384.785194
2022-03-05-22 21:11:04 iteration 6, max-likelihood = -3302.155585
2022-03-05-22 21:11:05 iteration 7, max-likelihood = -3254.038313
2022-03-05-22 21:11:05 iteration 8, max-likelihood = -3239.020028
2022-03-05-22 21:11:05 iteration 9, max-likelihood = -3235.825991
2022-03-05-22 21:11:05 iteration 10, max-likelihood = -3235.163335
2022-03-05-22 21:11:05 iteration 11, max-likelihood = -3235.018042
2022-03-05-22 21:11:06 iteration 12, max-likelihood = -3234.985789
2022-03-05-22 21:11:06 iteration 13, max-likelihood = -3234.978546
2022-03-05-22 21:11:06 iteration 14, max-likelihood = -3234.976900
2022-03-05-22 21:11:06 iteration 15, max-likelihood = -3234.976521
2022-03-05-22 21:11:07 iteration 16, max-likelihood = -3234.976434
2022-03-05-22 21:11:07 iteration 17, max-likelihood = -3234.976413
2022-03-05-22 21:11:07 iteration 18, max-likelihood = -3234.976408
2022-03-05-22 21:11:07 iteration 19, max-likelihood = -3234.976407
2022-03-05-22 21:11:07 iteration 20, max-likelihood = -3234.976407
