workclass,education,education-years,marital,occupation,relationship,race,sex,hours-per-week,natice-country,income
 State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
 Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,13, United-States, <=50K
 Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,40, Cuba, <=50K
 Private, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, <=50K
 Private, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,16, Jamaica, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, >50K
 Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,80, United-States, >50K
 State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,40, India, >50K
 Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,30, United-States, <=50K
 Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,50, United-States, <=50K
 Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,45, Mexico, <=50K
 Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,35, United-States, <=50K
 Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K
 Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,45, United-States, >50K
 Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K
 Private, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,20, United-States, <=50K
 Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,40, United-States, <=50K
 Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,80, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Local-gov, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,52, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Own-child, Black, Male,44, United-States, <=50K
 Private, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,40, United-States, <=50K
 Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,40, United-States, <=50K
 State-gov, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,15, United-States, <=50K
 Private, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,40, Puerto-Rico, <=50K
 Private, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,25, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K
 Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,43, United-States, <=50K
 Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,50, United-States, <=50K
 Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,35, United-States, <=50K
 Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,40, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,38, United-States, <=50K
 Private, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States, <=50K
 State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,43, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,40, United-States, <=50K
 Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,60, Honduras, >50K
 Federal-gov, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,55, United-States, >50K
 Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,60, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K
 Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Mexico, <=50K
 Private, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,40, Puerto-Rico, <=50K
 Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,48, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K
 Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, >50K
 Private, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,58, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, >50K
 Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
 Private, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,32, United-States, <=50K
 Private, Bachelors,13, Separated, Sales, Own-child, Black, Female,40, United-States, <=50K
 Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,70, United-States, >50K
 Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,20, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,40, Mexico, <=50K
 Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K
 Private, 11th,7, Never-married, Other-service, Own-child, White, Female,22, United-States, <=50K
 Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,30, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,40, Cuba, <=50K
 Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,48, United-States, <=50K
 Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,40, United-States, >50K
 Private, HS-grad,9, Divorced, Sales, Own-child, White, Female,35, United-States, <=50K
 Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, >50K
 Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, <=50K
 Private, 9th,5, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
 Federal-gov, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, >50K
 Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K
 Private, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,40, United-States, <=50K
 Private, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,25, United-States, <=50K
 Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, >50K
 Local-gov, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,50, United-States, <=50K
 Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K
 Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,48, United-States, >50K
 Private, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,40, England, <=50K
 Federal-gov, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,40, United-States, <=50K
 Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K
 Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, <=50K
 Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
 Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Never-married, Sales, Other-relative, White, Male,40, United-States, <=50K
 Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,50, Canada, >50K
 Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,25, United-States, <=50K
 Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,40, United-States, <=50K
 Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50, United-States, <=50K
 Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K
 Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, >50K
 Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,56, United-States, <=50K
 Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,41, United-States, <=50K
 Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, <=50K
 Private, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,40, Germany, <=50K
 State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, >50K
 Private, Some-college,10, Never-married, Other-service, Own-child, Black, Male,35, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, >50K
 Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,28, United-States, <=50K
 Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K
 Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,60, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,35, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K
 Private, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,36, United-States, <=50K
 Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, Iran, >50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, <=50K
 Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,35, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Own-child, White, Male,20, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States, >50K
 Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
 Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,30, Mexico, <=50K
 Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, >50K
 Private, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,30, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,24, United-States, <=50K
 Private, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,24, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Local-gov, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,38, Mexico, <=50K
 Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,40, Philippines, <=50K
 Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,35, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,46, United-States, <=50K
 Private, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
 Self-emp-not-inc, Some-college,10, Separated, Sales, Unmarried, Black, Male,2, United-States, <=50K
